catalog	schema	table	column	type	nullable	length	remarks
MFGPROD	PUB	_ActIndex	_Index-Splits	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Free	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-Trans	bigint	0	19	
MFGPROD	PUB	_ActIndex	_Index-UpTime	integer	0	10	
MFGPROD	PUB	_ActIndex	_Index-Misc	integer	0	10	
MFGPROD	PUB	_ActIOFile	_IOFile-Id	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-FileName	varchar	0	100	
MFGPROD	PUB	_ActIOFile	_IOFile-Reads	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-Writes	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-Extends	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-Trans	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-BufWrites	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-UbufWrites	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-BufReads	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-UbufReads	bigint	0	19	
MFGPROD	PUB	_ActIOFile	_IOFile-UpTime	integer	0	10	
MFGPROD	PUB	_ActIOFile	_IOFile-Misc	integer	0	10	
MFGPROD	PUB	_ActIOType	_IOType-Id	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-IdxRds	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-DataReads	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-BiRds	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-AiRds	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-IdxWrts	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-DataWrts	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-BiWrts	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-AiWrts	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-Trans	bigint	0	19	
MFGPROD	PUB	_ActIOType	_IOType-UpTime	integer	0	10	
MFGPROD	PUB	_ActIOType	_IOType-Misc	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-Id	bigint	0	19	
MFGPROD	PUB	_ActLock	_Lock-ShrReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ExclReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-UpgReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-RecGetReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ShrLock	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ExclLock	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-UpgLock	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-RecGetLock	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ShrWait	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ExclWait	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-UpgWait	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-RecGetWait	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-CanclReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-Downgrade	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-RedReq	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-Trans	bigint	0	19	
MFGPROD	PUB	_ActLock	_Lock-UpTime	integer	0	10	
MFGPROD	PUB	_ActLock	_Lock-ExclFind	bigint	0	19	
MFGPROD	PUB	_ActLock	_Lock-ShrFind	bigint	0	19	
MFGPROD	PUB	_ActLock	_Lock-Misc	integer	0	10	
MFGPROD	PUB	_ActOther	_Other-Id	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-Commit	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-Undo	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-Wait	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-FlushMblk	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-Trans	bigint	0	19	
MFGPROD	PUB	_ActOther	_Other-UpTime	integer	0	10	
MFGPROD	PUB	_ActOther	_Other-Misc	integer	0	10	
MFGPROD	PUB	_ActPWs	_PW-Id	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-TotDBWrites	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-DBWrites	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-ScanWrites	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-ApwQWrites	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-CkpQWrites	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-ScanCycles	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-BuffsScaned	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-BufsCkp	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-Checkpoints	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-Marked	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-Flushed	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-Trans	bigint	0	19	
MFGPROD	PUB	_ActPWs	_PW-UpTime	integer	0	10	
MFGPROD	PUB	_ActPWs	_PW-Misc	integer	0	10	
MFGPROD	PUB	_ActRecord	_Record-Id	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-RecRead	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-RecUpd	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-RecCreat	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-RecDel	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-FragRead	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-FragCreat	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-FragDel	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-FragUpd	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-BytesRead	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-BytesCreat	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-BytesDel	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-BytesUpd	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-Trans	bigint	0	19	
MFGPROD	PUB	_ActRecord	_Record-UpTime	integer	0	10	
MFGPROD	PUB	_ActRecord	_Record-Misc	integer	0	10	
MFGPROD	PUB	_ActServer	_Server-Id	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-MsgRec	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-MsgSent	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-ByteRec	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-ByteSent	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-RecRec	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-RecSent	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-QryRec	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-TimeSlice	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-Trans	bigint	0	19	
MFGPROD	PUB	_ActServer	_Server-UpTime	integer	0	10	
MFGPROD	PUB	_ActServer	_Server-Misc	integer	0	10	
MFGPROD	PUB	_ActSpace	_Space-Id	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-DbExd	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-TakeFree	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-RetFree	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-AllocNewRm	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-FromRm	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-FromFree	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-BytesAlloc	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-Examined	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-Removed	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-FrontAdd	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-BackAdd	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-Front2Back	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-Locked	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-Trans	bigint	0	19	
MFGPROD	PUB	_ActSpace	_Space-UpTime	integer	0	10	
MFGPROD	PUB	_ActSpace	_Space-Misc	integer	0	10	
MFGPROD	PUB	_ActSummary	_Summary-Id	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-Commits	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-Undos	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecReads	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecUpd	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecCreat	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecDel	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecLock	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-RecWait	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-DbReads	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-DbWrites	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-BiReads	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-BiWrites	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-AiWrites	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-Chkpts	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-Flushed	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-TransComm	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-UpTime	integer	0	10	
MFGPROD	PUB	_ActSummary	_Summary-DbAccesses	bigint	0	19	
MFGPROD	PUB	_ActSummary	_Summary-Misc	integer	0	10	
MFGPROD	PUB	_Area	_Area-version	integer	1	10	
MFGPROD	PUB	_Area	_Area-number	integer	0	10	
MFGPROD	PUB	_Area	_Area-name	varchar	0	64	
MFGPROD	PUB	_Area	_Area-type	integer	0	10	
MFGPROD	PUB	_Area	_Area-block	integer	1	10	
MFGPROD	PUB	_Area	_Area-attrib	integer	0	10	
MFGPROD	PUB	_Area	_Area-clustersize	integer	1	10	
MFGPROD	PUB	_Area	_Area-blocksize	integer	0	10	
MFGPROD	PUB	_Area	_Area-recbits	integer	1	10	
MFGPROD	PUB	_Area	_Area-extents	integer	1	10	
MFGPROD	PUB	_Area	_Area-misc	varchar	1	176	
MFGPROD	PUB	_AreaExtent	_Area-recid	integer	0	10	
MFGPROD	PUB	_AreaExtent	_Extent-version	integer	1	10	
MFGPROD	PUB	_AreaExtent	_Extent-number	integer	1	10	
MFGPROD	PUB	_AreaExtent	_Area-number	integer	1	10	
MFGPROD	PUB	_AreaExtent	_Extent-type	integer	0	10	
MFGPROD	PUB	_AreaExtent	_Extent-attrib	integer	1	10	
MFGPROD	PUB	_AreaExtent	_Extent-system	integer	1	10	
MFGPROD	PUB	_AreaExtent	_Extent-size	integer	0	10	
MFGPROD	PUB	_AreaExtent	_Extent-path	varchar	0	1024	
MFGPROD	PUB	_AreaExtent	_Extent-misc	varchar	1	176	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Id	bigint	1	19	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Areaname	varchar	1	64	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Areanum	integer	1	10	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Totblocks	bigint	1	19	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Hiwater	bigint	1	19	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Extents	integer	1	10	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Lastextent	varchar	1	64	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Freenum	bigint	1	19	
MFGPROD	PUB	_AreaStatus	_AreaStatus-Rmnum	bigint	1	19	
MFGPROD	PUB	_AreaThreshold	_AreaThreshold-ID	bigint	1	19	
MFGPROD	PUB	_AreaThreshold	_AreaThresholdArea	integer	1	10	
MFGPROD	PUB	_AreaThreshold	_AreaThreshold	integer	1	10	
MFGPROD	PUB	_Block	_Block-Id	bigint	0	19	
MFGPROD	PUB	_Block	_Block-Dbkey	bigint	0	19	
MFGPROD	PUB	_Block	_Block-Type	varchar	0	20	
MFGPROD	PUB	_Block	_Block-ChainType	varchar	0	20	
MFGPROD	PUB	_Block	_Block-BkupCtr	integer	0	10	
MFGPROD	PUB	_Block	_Block-NextDbkey	bigint	0	19	
MFGPROD	PUB	_Block	_Block-Update	integer	0	10	
MFGPROD	PUB	_Block	_Block-Area	integer	0	10	
MFGPROD	PUB	_Block	_Block-Block	varchar	0	8192	
MFGPROD	PUB	_Block	_Block-Misc	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-Id	bigint	0	19	
MFGPROD	PUB	_BuffStatus	_BfStatus-TotBufs	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-HashSize	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-UsedBuffs	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-LRU	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-APWQ	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-CKPQ	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-ModBuffs	bigint	0	19	
MFGPROD	PUB	_BuffStatus	_BfStatus-CKPMarked	bigint	0	19	
MFGPROD	PUB	_BuffStatus	_BfStatus-LastCkpNum	integer	0	10	
MFGPROD	PUB	_BuffStatus	_BfStatus-Misc	integer	0	10	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Id	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Time	varchar	0	48	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Len	varchar	0	48	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Dirty	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-CptQ	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Scan	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-ApwQ	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Flush	bigint	0	19	
MFGPROD	PUB	_Checkpoint	_Checkpoint-Misc	integer	0	10	
MFGPROD	PUB	_Client-Session	_Client-session-uuid	varchar	1	56	
MFGPROD	PUB	_Client-Session	_Client-name	varchar	1	70	
MFGPROD	PUB	_Client-Session	_User-id	varchar	1	70	
MFGPROD	PUB	_Client-Session	_Authentication-date-time	timestamp_timezone	1	32	
MFGPROD	PUB	_Client-Session	_Server-uuid	varchar	1	56	
MFGPROD	PUB	_Client-Session	_Authentication-domain-type	varchar	1	70	
MFGPROD	PUB	_Client-Session	_Authentication-domain-name	varchar	1	140	
MFGPROD	PUB	_Client-Session	_Db-guid	varchar	1	56	
MFGPROD	PUB	_Client-Session	_Session-custom-detail	varchar	1	6000	
MFGPROD	PUB	_Client-Session	_Audit-data-security-level	integer	1	10	
MFGPROD	PUB	_Client-Session	_Data-seal	varchar	1	56	
MFGPROD	PUB	_Code-Feature	_CodeFeature-ID	bigint	1	19	
MFGPROD	PUB	_Code-Feature	_CodeFeature_Name	varchar	1	64	
MFGPROD	PUB	_Code-Feature	_CodeFeature_Supported	varchar	1	2	
MFGPROD	PUB	_Code-Feature	_CodeFeature_Required	varchar	1	2	
MFGPROD	PUB	_Code-Feature	_CodeFeature-Res01	varchar	1	180	
MFGPROD	PUB	_Code-Feature	_CodeFeature-Res02	varchar	1	220	
MFGPROD	PUB	_Codepage	_Cp-Name	varchar	1	32	
MFGPROD	PUB	_Codepage	_Cp-Sequence	integer	1	10	
MFGPROD	PUB	_Codepage	_Cp-Dbrecid	integer	1	10	
MFGPROD	PUB	_Codepage	_Cp-Attr	varbinary	1	768	
MFGPROD	PUB	_Collation	_Coll-Name	varchar	1	32	
MFGPROD	PUB	_Collation	_Coll-Sequence	integer	1	10	
MFGPROD	PUB	_Collation	_Coll-Cp	integer	1	10	
MFGPROD	PUB	_Collation	_Coll-Tran-Version	integer	1	10	
MFGPROD	PUB	_Collation	_Coll-Tran-Subtype	integer	1	10	
MFGPROD	PUB	_Collation	_Coll-Segment	integer	1	10	
MFGPROD	PUB	_Collation	_Coll-Data	varbinary	1	512	
MFGPROD	PUB	_Connect	_Connect-Id	bigint	0	19	
MFGPROD	PUB	_Connect	_Connect-Usr	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Type	varchar	0	8	
MFGPROD	PUB	_Connect	_Connect-Name	varchar	0	16	
MFGPROD	PUB	_Connect	_Connect-Device	varchar	0	24	
MFGPROD	PUB	_Connect	_Connect-Time	varchar	0	48	
MFGPROD	PUB	_Connect	_Connect-Pid	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Server	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Wait1	bigint	0	19	
MFGPROD	PUB	_Connect	_Connect-Wait	varchar	0	8	
MFGPROD	PUB	_Connect	_Connect-TransId	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-SemNum	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-semid	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Disconnect	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Resync	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Interrupt	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-2phase	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-Batch	varchar	0	6	
MFGPROD	PUB	_Connect	_Connect-Misc	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-ClientType	varchar	0	8	
MFGPROD	PUB	_Connect	_Connect-IPAddress	varchar	0	64	
MFGPROD	PUB	_Connect	_Connect-CachingType	integer	0	10	
MFGPROD	PUB	_Connect	_Connect-CacheLastUpdate	varchar	0	48	
MFGPROD	PUB	_Connect	_Connect-CacheInfoType	varchar	0	30	
MFGPROD	PUB	_Connect	_Connect-CacheLineNumber	varchar	0	704	
MFGPROD	PUB	_Connect	_Connect-CacheInfo	varchar	0	3904	
MFGPROD	PUB	_Database-Feature	_DBFeature-ID	bigint	1	19	
MFGPROD	PUB	_Database-Feature	_DBFeature_Name	varchar	1	64	
MFGPROD	PUB	_Database-Feature	_DBFeature_Enabled	varchar	1	2	
MFGPROD	PUB	_Database-Feature	_DBFeature_Active	varchar	1	2	
MFGPROD	PUB	_Database-Feature	_DBFeature-Res01	varchar	1	180	
MFGPROD	PUB	_Database-Feature	_DBFeature-Res02	varchar	1	220	
MFGPROD	PUB	_Db	_Db-name	varchar	0	24	
MFGPROD	PUB	_Db	_Db-addr	varchar	1	120	
MFGPROD	PUB	_Db	_Db-type	varchar	0	24	
MFGPROD	PUB	_Db	_Db-comm	varchar	0	24	
MFGPROD	PUB	_Db	_Db-revision	integer	1	10	
MFGPROD	PUB	_Db	_Db-misc1	varchar	1	96	
MFGPROD	PUB	_Db	_Db-misc2	varchar	1	144	
MFGPROD	PUB	_Db	_Db-slave	bit	0	1	
MFGPROD	PUB	_Db	_Db-local	bit	0	1	
MFGPROD	PUB	_Db	_Db-res1	varchar	1	80	
MFGPROD	PUB	_Db	_Db-res2	varchar	1	208	
MFGPROD	PUB	_Db	_Db-xlate	varchar	1	1028	
MFGPROD	PUB	_Db	_Db-xl-name	varchar	1	40	
MFGPROD	PUB	_Db	_Db-collate	varchar	1	5140	
MFGPROD	PUB	_Db	_Db-coll-name	varchar	1	40	
MFGPROD	PUB	_Db	_User-Misc	varchar	1	20	
MFGPROD	PUB	_Db	_Db-guid	varchar	1	56	
MFGPROD	PUB	_Db-Detail	_Db-guid	varchar	1	56	
MFGPROD	PUB	_Db-Detail	_Db-description	varchar	1	140	
MFGPROD	PUB	_Db-Detail	_Db-mac-key	varbinary	1	16	
MFGPROD	PUB	_Db-Detail	_Db-custom-detail	varchar	1	6000	
MFGPROD	PUB	_Db-Option	_Db-recid	integer	1	10	
MFGPROD	PUB	_Db-Option	_Db-option-type	integer	1	10	
MFGPROD	PUB	_Db-Option	_Db-option-code	varchar	1	70	
MFGPROD	PUB	_Db-Option	_Db-option-description	varchar	1	1000	
MFGPROD	PUB	_Db-Option	_Db-option-value	varchar	1	140	
MFGPROD	PUB	_DbStatus	_DbStatus-Id	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-state	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-tainted	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-IntFlags	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-DbBlkSize	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-TotalBlks	bigint	0	19	
MFGPROD	PUB	_DbStatus	_DbStatus-EmptyBlks	bigint	0	19	
MFGPROD	PUB	_DbStatus	_DbStatus-FreeBlks	bigint	0	19	
MFGPROD	PUB	_DbStatus	_DbStatus-RMFreeBlks	bigint	0	19	
MFGPROD	PUB	_DbStatus	_DbStatus-LastTran	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-LastTable	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-DbVers	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-DbVersMinor	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-ClVersMinor	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-ShmVers	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-Changed	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-ibSeq	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-Integrity	varchar	0	24	
MFGPROD	PUB	_DbStatus	_DbStatus-HiWater	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-BiBlkSize	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-BiClSize	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-AiBlkSize	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-starttime	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-LastOpen	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-PrevOpen	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-CacheStamp	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-fbDate	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-ibDate	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-CreateDate	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-BiOpen	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-BiSize	bigint	0	19	
MFGPROD	PUB	_DbStatus	_DbStatus-BiTrunc	varchar	0	48	
MFGPROD	PUB	_DbStatus	_DbStatus-Codepage	varchar	0	40	
MFGPROD	PUB	_DbStatus	_DbStatus-Collation	varchar	0	40	
MFGPROD	PUB	_DbStatus	_DbStatus-NumAreas	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-NumLocks	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-MostLocks	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-SharedMemVer	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-NumSems	integer	0	10	
MFGPROD	PUB	_DbStatus	_DbStatus-Misc	integer	0	10	
MFGPROD	PUB	_Field	_File-recid	integer	0	10	
MFGPROD	PUB	_Field	_Field-Name	varchar	0	32	
MFGPROD	PUB	_Field	_Data-Type	varchar	0	18	
MFGPROD	PUB	_Field	_dtype	integer	1	10	
MFGPROD	PUB	_Field	_Initial	varchar	1	250	
MFGPROD	PUB	_Field	_Label	varchar	1	60	
